scope	niveau	type_document	annee	statut	titre	chemin_par_scope	sha256	taille_octets	pages_pdf	url_source
college/cycle-4/arts-plastiques	cycle-4	diaporama	2016	a-verifier	Des propositions de parcours de formation pour les élèves afin de définir et opérationnaliser pour le professeur la « progression par approfondissement » en arts plastiques PDF - 197.13 Ko	par-scope/college/cycle-4/arts-plastiques/cycle-4/diaporama/2016/des-propositions-de-parcours-de-formation-pour-les-eleves-afin-de-definir-et-operationnaliser-pour-le-professeur-la-progression-pa--3c62a0e4fb.pdf	3c62a0e4fb9564363a475b480e9877e6705e0f20af898ba1704f5f819daff485	201862	3	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
college/cycle-4/arts-plastiques	cycle-4	diaporama	2016	a-verifier	Partie 1 : au fil du temps, une synthèse historique PDF - 267.66 Ko	par-scope/college/cycle-4/arts-plastiques/cycle-4/diaporama/2016/partie-1-au-fil-du-temps-une-synthese-historique-pdf-267-66-ko--7aad76ae15.pdf	7aad76ae15e49e8e9858c1e3e10ffbfa1d76bc030db4f04c832ba516caebe622	274085	8	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
college/cycle-4/arts-plastiques	cycle-4	diaporama	2016	a-verifier	Questionnements au cycle 4 : L'œuvre, l'espace, l'auteur, le spectateur PDF - 4.53 Mo	par-scope/college/cycle-4/arts-plastiques/cycle-4/diaporama/2016/questionnements-au-cycle-4-l-uvre-l-espace-l-auteur-le-spectateur-pdf-4-53-mo--97fc769159.pdf	97fc76915981dfeb4b487f4d44111095a390634478fc17ca9e4158fc15fd918b	4745379	17	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
college/cycle-4/arts-plastiques	cycle-4	diaporama	2016	a-verifier	Questionnements au cycle 4 : La matérialité de l'œuvre ; l'objet et l'œuvre PDF - 6.73 Mo	par-scope/college/cycle-4/arts-plastiques/cycle-4/diaporama/2016/questionnements-au-cycle-4-la-materialite-de-l-uvre-l-objet-et-l-uvre-pdf-6-73-mo--fd39349b98.pdf	fd39349b98c49548aa3cbbfd85443e952ca14035e6766e22d8cbbd8ee049091f	7053463	25	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
college/cycle-4/arts-plastiques	cycle-4	evaluation-examen	2016	a-verifier	1 - Se repérer dans la notion d'interdisciplinarité, identifier de possibles obstacles pour mettre en œuvre le travail interdisciplinaire PDF - 298.85 Ko	par-scope/college/cycle-4/arts-plastiques/cycle-4/evaluation-examen/2016/1-se-reperer-dans-la-notion-d-interdisciplinarite-identifier-de-possibles-obstacles-pour-mettre-en-uvre-le-travail-interdisciplina--4db9153b19.pdf	4db9153b19ae7e84554194d3fcd1eed03a67e74ba414eaab34318e077b7ee733	306026	6	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
college/cycle-4/arts-plastiques	cycle-4	evaluation-examen	2016	a-verifier	Enseignement des arts plastiques et projet d'enseignement PDF - 233.27 Ko	par-scope/college/cycle-4/arts-plastiques/cycle-4/evaluation-examen/2016/enseignement-des-arts-plastiques-et-projet-d-enseignement-pdf-233-27-ko--3ae9cd7e07.pdf	3ae9cd7e071d0ca3d97b06a52c497c5a8713d1b8df7395d0c990ee3bd0bad702	238864	7	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
college/cycle-4/arts-plastiques	cycle-4	evaluation-examen	2016	a-verifier	Enseignement des arts plastiques et projet de l'élève PDF - 244.13 Ko	par-scope/college/cycle-4/arts-plastiques/cycle-4/evaluation-examen/2016/enseignement-des-arts-plastiques-et-projet-de-l-eleve-pdf-244-13-ko--b420ef10c1.pdf	b420ef10c1825bb553773c25637b4d9372cbc5854ce07d8472a4f1ac266b4612	249984	7	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
college/cycle-4/arts-plastiques	cycle-4	evaluation-examen	2016	a-verifier	La responsabilité pédagogique du professeur, la notion de projet, l'évaluation au service des apprentissages, la variété des situations d'apprentissage, l'importance des locaux d'enseignement PDF - 208.44 Ko	par-scope/college/cycle-4/arts-plastiques/cycle-4/evaluation-examen/2016/la-responsabilite-pedagogique-du-professeur-la-notion-de-projet-l-evaluation-au-service-des-apprentissages-la-variete-des-situatio--0d23d4d6d1.pdf	0d23d4d6d1a0fab4fa687d87598552a81a9f5df3e167a9fa2dab63e946f9be46	213442	6	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
college/cycle-4/arts-plastiques	cycle-4	evaluation-examen	2016	a-verifier	Partie 3 : travailler par compétences, l'élaboration de la séquence PDF - 491.74 Ko	par-scope/college/cycle-4/arts-plastiques/cycle-4/evaluation-examen/2016/partie-3-travailler-par-competences-l-elaboration-de-la-sequence-pdf-491-74-ko--9ec32377cd.pdf	9ec32377cd045ff1ef92137f735eee8957265161106c3473ec5a18ce0a006ff3	503543	3	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
college/cycle-4/arts-plastiques	cycle-4	evaluation-examen	2016	a-verifier	Partie 5 : évaluer par compétences, les principes et méthode PDF - 291.9 Ko	par-scope/college/cycle-4/arts-plastiques/cycle-4/evaluation-examen/2016/partie-5-evaluer-par-competences-les-principes-et-methode-pdf-291-9-ko--9e831b8426.pdf	9e831b8426da587d04cb7fe222d4a135f7afe513ec688a158ac9815d2f60d6ad	298907	12	https://eduscol.education.gouv.fr/5718/ressources-d-accompagnement-du-programme-d-arts-plastiques-au-cycle-4
