surface,file,symbol,current_semantics,assumes_unique_content,placement_aware,runtime_critical,contract_version,change_required,test_required
contracts_core,packages/contracts/src/nexus_contracts/authorization_set.py,AuthorizationSetV1,one authorization = one scope + content allowlist; global content-only overlap check,YES,NO,YES,V1,NONE (frozen; V2 added alongside),existing V1 goldens unchanged (proven this PR)
contracts_core,packages/contracts/src/nexus_contracts/authorization_set.py,AuthorizationSetV2,same shape; overlap keyed by (content,scope) binding; distinguishes unique_content_count from authorization_binding_count,NO,YES,YES,V2 (new),NONE (implemented and tested this PR),done this PR
contracts_core,packages/contracts/src/nexus_contracts/release_scope_placement.py,_compose_release_scope_placement (V1 producer),identity_by_content keyed by content_sha256 alone -> AMBIGUOUS_PLACEMENT on 2nd collection,YES,NO,YES,V1,NONE (frozen; V2 sibling added),existing V1 tests unchanged (proven this PR)
contracts_core,packages/contracts/src/nexus_contracts/release_scope_placement.py,_compose_release_scope_placement_v2 (V2 producer),identity_by_binding keyed by (content_sha256,collection); matrix anti-overlap keyed the same way,NO,YES,YES,V2 (new),NONE (implemented and tested against the real 486-placement R1 release this PR),done this PR
control_plane,services/rag-engine/src/ingestor/ingestion_worker/authorization_mapping.py,(content -> authorization_id mapping),not audited in depth this session,UNKNOWN,UNKNOWN,YES,V1 (assumed),PENDING -- out of this PR's scope (contract/mechanism only per mandate section 31),needed before any real V2 authorization is used by a real job
control_plane,services/rag-engine/src/ingestor/ingestion_profiles/readiness_gate.py,enforce_readiness_gate() and related,not audited in depth this session,UNKNOWN,UNKNOWN,YES,V1 (assumed),PENDING -- same,needed before V2 rollout
control_plane,services/rag-engine/src/ingestor/ingestion_profiles/release_verification_v2.py,(despite the V2-sounding filename: verifies profile/manifest facts, not scope-placement multiplicity),not audited in depth this session,UNKNOWN,UNKNOWN,YES,V1 (assumed),PENDING -- same,needed before V2 rollout
release_republish,services/rag-pedago/rag_pedago/governance/catalog_republish.py,(republish pipeline consumer of ReleaseScopePlacement/AuthorizationSet),not audited in depth this session,UNKNOWN,UNKNOWN,YES,V1 (assumed),PENDING -- same,needed before V2 rollout
release_republish,services/rag-pedago/rag_pedago/governance/corpus_campaign.py,(campaign consumer),not audited in depth this session,UNKNOWN,UNKNOWN,YES,V1 (assumed),PENDING -- same,needed before V2 rollout
h2_evidence,services/rag-pedago/rag_pedago/governance/h2_evidence.py,(H2 coverage evidence consumer),not audited in depth this session,UNKNOWN,UNKNOWN,NO (H2/H2B path is separate from R1),V1 (assumed),PENDING -- out of scope for R1 entirely,not required for R1_MULTIPLACEMENT_AUTHORITY_ARCHITECTURE_READY
h2_evidence,services/rag-pedago/rag_pedago/imports/h2b_coverage_report.py,(H2B coverage report),not audited in depth this session,UNKNOWN,UNKNOWN,NO,V1 (assumed),PENDING -- out of scope for R1 entirely,not required for R1_MULTIPLACEMENT_AUTHORITY_ARCHITECTURE_READY
h2_evidence,packages/contracts/src/nexus_contracts/h2_coverage_evidence.py,(shared H2 coverage contract),not audited in depth this session,UNKNOWN,UNKNOWN,NO,V1 (assumed),PENDING -- out of scope for R1 entirely,not required for R1_MULTIPLACEMENT_AUTHORITY_ARCHITECTURE_READY
release_evidence,packages/contracts/src/nexus_contracts/release_evidence.py,(shared release-evidence contract),not audited in depth this session,UNKNOWN,UNKNOWN,YES,V1 (assumed),PENDING -- same,needed before V2 rollout
runtime_adapter,services/rag-engine/src/ingestor/release_scope_placement.py,(rag-engine's own thin adapter over the contracts producer),wraps produce_release_scope_placement_from_* (V1) only,YES,NO,YES,V1,PENDING -- add a V2-aware sibling wrapper before any real V2 authorization is consumed by rag-engine,needed before V2 rollout
